meal_description,carb,protein,fat,energy
My snack consisted of an interesting 0.5g serving of non-food matrices.,0.0,0.0,0.0,0.0
"For breakfast, I had 10.5g of fine powder camomile tea designed for infants, sweetened with common sugar, alongside 150g of peeled apples.",30.619999999999997,0.45,0.15,121.0
"For breakfast, I had 170g of raw Florence fennels, fresh and crisp.",1.7,2.04,0.0,15.0
"During my snack time, I enjoyed 60g of weak-strength coffee with no sugar added, 24g of crunchy rusk, and a sprinkle of 8g of sucrose.",28.35,2.77,1.44,130.0
"For lunch, I enjoyed a light meal featuring 9g of choux pastry dough, along with sliceable cooked sausages and fresh leafy greens.",4.59,0.91,1.99,39.0
"For lunch, I had a 500g micronutrients supplement designed for sports people, which comes in a liquid form and is made up of various chemical elements.",31.1,0.0,0.14,115.0
I opted for a 0.2g tablet of State protein and amino acids for a light snack today.,0.15,0.01,0.01,1.0
"For my snack, I took 1.2g of calcium tablets to boost my mineral intake.",0.11,0.0,0.01,1.0
"For my snack, I took 4.9g of State vitamin and mineral tablets.",0.63,0.0,0.0,2.0
"For a little pick-me-up, I had 0.8g of vitamin powder from STATE during my snack.",0.0,0.21,0.03,1.0
"For a light snack, I opted for 6g of magnesium powder, making it easy to stay healthy.",0.0,0.0,0.0,0.0
"My snack today included 60g of Tiroler speck, 150g of sweet unprocessed melons, 15g of light and crispy white flour crackers, and a large glass of 480g natural mineral water to keep me hydrated.",21.66,20.02,14.92,297.0
I enjoyed a snack of 0.8g of mixed vitamin tablets that contained various herbal extracts.,0.18,0.13,0.36,4.0
"For a quick snack, I savored 60g of QUAL espresso coffee and indulged in a 28g portion of sponge cake that was prepared with jam.",19.849999999999998,1.78,2.32,102.0
My afternoon snack consisted of 250g of creamy semi-skimmed cow milk and a delightful 10g of honey.,20.53,8.81,3.75,145.0
"At dinner, I savored 150g of camomile infusion, enhanced with 1.2g of sweeteners in powder form, combining both fructose and saccharin for a pleasant touch.",1.53,0.01,0.0,7.0
"This morning, my breakfast included 156g of finger food, a delightful blend of rice flour and pulses flour, served with 90g of rich dal curry sauce.",50.07,13.219999999999999,5.6,299.0
"My snack included 77g of tasty fried finger food made from lentils, 94g of fish-filled savory pie, and a 210g glass of invigorating fermented tea infusion.",45.43,12.299999999999999,29.5,486.0
"For my snack, I had 32g of white wheat bread and rolls made from refined flour, accompanied by 350g of refreshing tap water and 300g of liquid milk.",30.41,12.93,6.26,231.0
"For a quick snack, I indulged in 39g of toffee with wheat semolina and complemented it with 210g of a rich coffee beverage.",17.2,1.87,3.34,105.0
"This morning, my meal consisted of 69g of assorted root and tuber vegetables.",3.98,0.92,0.17,19.0
"I treated myself to 215g of unspecified fruit for my snack, a delightful and healthy choice.",34.4,1.63,0.49,133.0
"My lunch consisted of 30g of shrimp and prawns, 61g of flavorful broiled chicken breast, 200g of perfectly fried rice, and a fizzy 350g cola to enjoy alongside the meal.",109.18,25.169999999999998,16.32,682.0
"During my afternoon snack, I enjoyed a hearty 250g of fortified malt coffee ingredient paired with 75g of crunchy biscuits.",222.28,28.52,35.61,1323.0
"For a delightful snack, I savored 30g of crackers and breadsticks crafted from white wheat flour, along with 129g of delicious hog plums.",34.04,2.9299999999999997,8.49,201.0
"This evening, my meal featured 50g of Asian-style noodles other than glass noodles paired with 44g of whole eggs.",4.9,6.32,5.52,97.0
"I kicked off my day with a hearty 400g serving of finger food, featuring rice flour and coconuts, cooked through fermentation and shallow frying.",218.28,15.48,46.56,1300.0
"For my snack, I had 351g of delicious granate apples.",51.42,4.98,0.39,193.0
"For my snack, I had 30g of carambolas alongside 134g of common banana.",37.06,1.85,0.8099999999999999,150.0
"This afternoon, my snack consisted of 16g of cooked French beans, 15g of mixed Asiatic pennywort vegetables, and a hearty 200g serving of polished rice cooked in water.",58.16,6.06,1.7200000000000002,278.0
"Today for a snack, I savored 69g of finger food featuring a mix of millet flour, rice flour, and coconut, all harmoniously balanced with refined cane sugar.",28.74,1.62,5.03,160.0
I enjoyed a delightful 350g of elephant apples as my afternoon snack.,45.4,10.81,12.67,273.0
"For breakfast, I savored 80g of food industry prepared pancakes.",26.4,4.5,8.7,202.0
"For dinner, I savored 276.2g of Nonis.",46.5,2.8,0.8,182.0
"Breakfast today consisted of 38.5g of cereals enriched with probiotic cultures, combined with 300g of low-fat cow milk.",44.1,13.0,6.3,285.0
"For my dinner, I enjoyed 27.9g of delicious fried white onions, drizzled with 6.1g of safflower seed oil, alongside 100g of savory processed whole beef products.",2.6,34.099999999999994,21.0,338.0
"During my snack time, I enjoyed 348g of celery, paired with 51g of sweet pineapple and 97g of prickly pear stems for a unique taste.",20.2,4.0,0.7999999999999999,98.0
"For dinner, I had 1.5g of brown sugar, 62.4g of flavored bottled water with added sugar, 63.9g of light yellow cheese, and 56g of white tortilla.",32.4,6.6,15.2,292.0
"I treated myself to a delightful 92g serving of industry-prepared chocolate, made with common sugar, for a quick snack.",71.6,3.5,12.1,409.0
"To start my day, I had 40g of probiotic milk-like drink with added sugar and a scrumptious 55.2g biscuit filled with jam.",51.1,5.1,10.2,317.0
"This morning, I enjoyed a hearty breakfast featuring 270g of unsweetened low-fat evaporated milk alongside a delicious 56g piece of fortified plain cake.",67.4,21.6,13.100000000000001,474.0
"For breakfast, I had 39g of a biscuit filled with foamed sugar products like marshmallows, paired with 229.9g of a light yogurt drink, and a refreshing 213.7g soya drink with added sugar.",56.6,10.100000000000001,4.699999999999999,309.0
"This morning, my breakfast consisted of a smooth 381.9g liquid supplement that provided a rich blend of vitamins and minerals, including Vitamin B12 and potassium, to kickstart my day.",35.6,24.6,8.4,316.0
"This afternoon, my snack consisted of 90g of dairy snacks made with a blend of sugars, paired with 3.6g of hard candies for a little extra sweetness.",18.1,5.2,2.7,117.0
I started my day with a delightful breakfast consisting of 130g of sweet plain biscuits and 343.5g of milk that was boiled and sweetened with sucrose.,119.8,20.7,23.2,772.0
"For a wholesome snack, I had 382.2g of milk fortified with a blend of vitamins and minerals to keep me energized.",17.9,11.9,11.5,222.0
"This morning, my breakfast included 10g of cereals made from common wheat, 20g of infant formula powder, and a generous 180g of drinking water.",19.6,3.5,5.1,138.0
"For dinner, I had 257.6g of fortified milk enriched with vitamins and minerals, a sprinkle of 0.2g cinnamon powder, and 31.2g of boiled rolled oats.",32.6,11.8,9.9,268.0
"My afternoon snack featured 35g of white bread, 12g of flavorful boiled turkey, and a creamy 4.5g serving of mayonnaise.",21.8,5.1,4.4,148.0
"During my lunch today, I enjoyed a hearty mix of 127.5g boiled chicken, 58.2g boiled potatoes, and 44.7g boiled courgettes, rounded out with 66.7g of maize flour and a generous portion of 200g of unleavened dough, all enhanced by a touch of garlic at 0.3g.",126.9,35.9,26.0,889.0
"For tonight's dinner, I had a light 2.5g tortilla made from white maize, a touch of 1.9g plain cream, 12g of romaine, and a satisfying 14.5g portion of low-fat fresh sheep meat.",1.7000000000000002,3.1,1.7,34.0
"At snack time, I indulged in 10.5g of baked milk that was prepared in the food industry.",5.8,0.7,0.7,32.0
"My snack featured a delightful spread of 39.2g of ham, perfectly pan-fried to bring out its savory flavor, accompanied by 164.7g of fried eggs, cooked to a fluffy perfection. All of this was brought together with a touch of 4.6g of rapeseed oil and a dash of salt for added seasoning. To complement the meal, I enjoyed a refreshing 517.2g of orange juice, a delicious nectar made from fresh oranges, served alongside 207.6g of soft tortillas made from maize grain, creating a satisfying and flavorful snack experience.",156.1,37.1,37.599999999999994,1118.0
"My breakfast featured 175.6g of delicious boiled banana complemented by 257.6g of rich, lactose-free boiled whole milk.",52.5,9.8,5.199999999999999,279.0
I kicked off my day with breakfast featuring 206.1g of vitamin-fortified milk powder and a rich 203g serving of chocolate made with sugar.,167.7,14.2,32.800000000000004,1023.0
"For breakfast, I had 308.8g of sweetened and flavored yoghurt drinks alongside 128g of a deliciously prepared Berliner doughnut.",111.3,20.2,33.3,826.0
"For breakfast today, I savored 60.8g of tasty chicken wings complemented by a comforting 222.9g of mixed vegetable soup flavored with chicken stock.",5.6,14.7,8.9,165.0
"For dinner, I savored 18.7g of fresh uncured cheese and 85.5g of flavorful medium-fat beef that was cooked to perfection.",0.5,18.9,21.099999999999998,275.0
"This morning, I enjoyed a creamy 199.7g serving of condensed milk alongside a sweet 30g biscuit filled with cinnamon goodness.",154.79999999999998,11.0,18.200000000000003,827.0
"For my snack, I savored a colorful plate with 101.6g of boiled broccoli, 6.0g of boiled spinach, 3.5g of white boiled onions, 13.6g of boiled carrots, 38.4g of boiled courgettes, and 45.2g of plum tomatoes, all seasoned to perfection with 42.1g of seasoning salt, making it a vibrant and flavorful combination.",42.1,10.799999999999999,0.8999999999999999,197.0
"This morning's breakfast included a 50g portion of a delicious vegetable-based meal for kids, featuring courgettes in a smooth puree form.",1.1,0.0,0.0,4.0
"During my snack time, I enjoyed 70g of refined white bread with 19.6g of pork ham and a drizzle of 3g mayonnaise, along with a refreshing 265g of prepared fruit and vegetable juice.",74.7,8.799999999999999,8.2,388.0
"For lunch, I had 170g of a ready-to-eat fruit-based puree meal for children, prepared by the food industry.",39.1,6.6,7.2,247.0
"At breakfast, I savored 16.8g of delicious crackers and breadsticks, made with edible vegetable fats and a sprinkle of salt, paired with 1g of leaves for my warm infusion.",11.2,1.2,3.4,80.0
"For a quick snack, I indulged in 36.2g of pork lard skin that was deep-fried and paired it with 151.8g of soft and warm maize dough.",48.3,26.0,17.099999999999998,451.0
"I enjoyed 47.8g boiled eggs, 3.9g vegetable, and a 69.2g tortilla with 0.2g salt and 10.1g sugar. In addition, I hvae 36.2g strawberries and 172.6g cow milk.",53.6,15.5,16.2,419.0
"For my snack, I enjoyed a refreshing 100g of drinking water, a satisfying 44g of chocolate-coated biscuits with a delightful filling, a light serving of 46g of crunchy corn chips, and a fluffy 100g yeast-leavened pastry. I also indulged in a piece of sweetened chewing gum weighing 5.4g, rounding off my snack with a burst of flavor.",107.7,14.5,39.2,842.0
"This morning's breakfast consisted of 14.3g of orange juice, 98.4g of chicken leg with skin, seasoned with 0.4g of salt, 2g of edible vegetable fats, 13.1g of fermented sauce, a touch of 1.2g lime juice, and a sprinkle of 0.5g garlic for flavor.",4.2,17.2,20.0,269.0
"This morning, I started my day with a cup of coffee made from 3g of roasted grounds, blended with 18.9g of white sugar, and washed it down with 333.3g of water, complemented by a 72g tortilla.",54.199999999999996,3.6999999999999997,2.4,245.0
"I treated myself to a 99g ready-to-eat mixed meal designed for kids, which included a delightful puree of ham and vegetables, accompanied by 25.5g of hearty bean soup for my snack.",9.4,2.3,1.9,63.0
"Tonight's dinner featured 121g of dry peas, providing a wholesome and filling option.",70.7,25.9,2.4,408.0
"This morning, my breakfast included a small portion of 13.8g boiled hog plums and a refreshing 126g glass of industry-prepared grape juice.",19.599999999999998,0.1,0.2,80.0
"At snack time, I enjoyed 333.3g of boiling drinking water and brewed it with 3.6g of roasted coffee grounds. I added 18.9g of white sugar for sweetness and savored a 35g artisan pastry made with sucrose.",39.0,1.6,8.1,215.0
"This morning's breakfast consisted of 8g of cocoa beverage made from sugar and vitamins, a refreshing 125.7g of flavored milk, and a satisfying 30g of integral extruded cereal.",37.400000000000006,8.3,2.6,207.0
"For my dinner, I prepared 40.6g of ripe pumpkin and complemented it with 127.4g of light cow milk.",8.5,4.5,1.3,62.0
"For my dinner, I savored 82.6g of prickly pear stems sautéed with a mix of spices and 43.2g of tangy cured pork fat prepared with vinegar and dried chili.",3.1,6.0,17.5,191.0
"For dinner, I had 158g of low-fat fresh meat from cow, ox, or bull.",0.0,37.9,4.0,188.0
"For dinner, I had 89.1g of special food designed for children's growth, enriched with vitamins A, B2, B9, C, E, as well as zinc and iron in a puree form.",34.2,7.2,8.4,242.0
"For lunch, I prepared 43.5g of low-fat cow meat, fried to perfection, with 34.2g of refined soybean oil on the side.",0.0,10.2,35.300000000000004,354.0
"For my snack, I had 202.9g of purple mombins paired with 66g of fresh cucumbers.",25.599999999999998,1.7999999999999998,0.7,103.0
"For my snack, I had 276.2g of mangoes paired with 86g of hog plums.",53.099999999999994,2.6999999999999997,2.1,219.0
"During my snack time, I enjoyed 30g of battered and fried salted peanuts, paired with a refreshing 763.8g cola-type drink and a small 15g serving of starchy pudding.",110.39999999999999,5.1,12.7,579.0
"During dinner, I consumed 127.7g of a nutrient-rich supplement that includes a wide range of vitamins and minerals designed to support overall health.",66.4,46.0,4.6,491.0
"For lunch, I had 1.9g of edible safflower seed oil and 50g of boiled borlotti beans.",28.6,10.5,2.8,183.0
"I started my day with a delightful breakfast of 30.3g fresh uncured cheese, 19.6g of ham, a warm 44g tortilla, and a glass of 258.6g orange juice.",49.9,14.8,19.0,469.0
"For breakfast, I had 103.8g of boiled maize grain tortilla, 63g of boiled manchego cheese, 12.4g of fresh coriander leaves, 150.2g of green tomatillos, and 7.2g of Chinese capsicum.",57.1,20.1,21.000000000000004,492.0
"For my evening meal, I savored 242.4g of fruit salad, expertly made by the food industry.",55.5,0.9,0.2,213.0
"For my midday meal, I savored 125g of boiled cow meat that was medium fat, complemented by 2.5g of rapeseed oil.",0.0,21.7,27.3,336.0
"This evening, my dinner consisted of 62.5g of ham that was boiled, paired with a 34.6g tortilla made from maize, complemented by 17g of boiled avocado and 62.5g of fresh cow milk cheese.",20.299999999999997,25.9,35.1,455.0
Today’s snack consisted of 51.2g of sweetened maize flakes along with a generous serving of 254.8g of warm whole milk.,59.400000000000006,10.399999999999999,9.7,367.0
"For breakfast today, I savored 254.8g of low-fat milk enriched with vitamins, paired with 135.4g of a ripe banana and 38.4g of sweetened maize flakes.",76.8,10.9,1.7000000000000002,354.0
"I started my day with a delicious breakfast of 184.2g wholemeal wheat bread, slathered with 9g of mayonnaise, complemented by 40g of seasoned turkey.",98.4,27.6,15.5,644.0
"For lunch, I enjoyed 149.6g of fried tomatoes with a drizzle of sunflower seed oil weighing 15.3g. I also savored 237.5g of medium-fat fried beef, paired it with a 280g light flavored soft drink, a side of 62.5g red salsa, and wrapped it up with 343.3g of juicy papayas.",42.6,46.3,63.0,919.0
"For a refreshing snack, I poured myself 465g of tequila and similar spirits.",0.0,0.0,0.0,1074.0
My snack consisted of a small serving of 5g capulins.,0.8,0.1,0.0,4.0
"For my snack, I treated myself to 183.2g of apples, complemented by a little 0.8g of vanilla extract for an aromatic touch. To make it a bit sweeter, I added 31.9g of white sugar and a splash of 1.1g of drinking water to balance the flavors. I also incorporated 41.2g of full-fat evaporated milk for a creamy texture, along with 55.8g of condensed milk for richness. Lastly, I added some hardened egg products, which weighed 29.9g, to enhance the overall taste of my delightful snack.",99.6,9.8,8.4,512.0
"For dinner, I had a 56g hamburger roll-type sandwich bread that was prepared by the food industry.",29.7,4.2,2.3,156.0
"Today, my breakfast consisted of a 20g portion of a pureed vegetable meal for kids, featuring the delightful taste of chayote fruits.",0.8,0.0,0.0,3.0
"While snacking, I indulged in 62.7g of banana and 260g of yogurt crafted with real fruit for a refreshing treat.",58.5,8.4,10.799999999999999,359.0
"For breakfast, I had 240g of herbal formulations and plant extracts that included caffeine, designed for weight reduction.",105.6,0.0,0.0,422.0
"For my dinner, I savored 47.2g of fresh cow meat with a medium fat content.",0.0,8.6,9.3,119.0
"This evening, my meal included 1g of cinnamon bark powder, 21.1g of tender boiled garden peas, and 23g of delicious mixed wheat and rye rolls.",14.7,3.1,0.7999999999999999,77.0
"I snacked on 184g of avocados, along with 29.5g of plum tomato, served on 70g of white refined bread.",60.3,9.7,28.0,504.0
"At lunchtime, I indulged in 466g of leavened bread, made with common millet and similar grains.",178.5,19.1,3.3,764.0
"My afternoon snack consisted of 4g of seed oils, 3.7g of cooked red onions, 55.9g of kale that was boiled just right, a touch of 0.4g salt, and 49g of delightful traditional unleavened maize bread.",29.799999999999997,3.8000000000000003,5.5,129.0
My snack consisted of 60g of delicious leavened bread made from maize grain.,18.1,2.1,0.6,85.0
I treated myself to 10g of tasty roasted maize grain as a snack.,3.9,0.5,0.2,19.0
"I had a healthy lunch featuring 14g of traditional unleavened breads made from grains like sorghum and maize, alongside 62g of fresh whole cow milk.",7.6,2.7,3.5,71.0
"My dinner consisted of 47g of multigrain bread made with maize and teff grains, along with a hearty 134g serving of whey from cow milk.",23.1,3.2,0.4,107.0
"My afternoon snack consisted of 39.6g of yellow sweet potatoes, perfectly boiled, along with 3.3g of boiled round scad fish, finished with a drizzle of 0.3g coconut oil.",11.64,1.1800000000000002,0.3,54.0
I enjoyed a delicious 90g serving of deep-fried ripe bananas with a touch of sucrose for sweetness as my afternoon snack.,34.02,1.8,2.34,165.0
"For my snack, I had 70g of sponge cake made with butter, along with 27g of rambutans and 27g of langsats.",44.55,2.55,14.6,315.0
"For dinner, I had a hearty 210g bowl of Asian-style noodles in a clear meat soup, fortified for extra nutrition, accompanied by 45g of boiled head cabbages.",21.84,4.06,3.8699999999999997,137.0
"For my snack, I had 10g of raw tomatoes, 9.9g of fresh head cabbage, and 120g of broiled beef.",1.0,36.709999999999994,3.66,192.0
"I started my day with a breakfast that featured 6.8g of qualitative coconut oil, 40g of Snappers cooked by pan frying, a touch of 1.2g salt, 225g of red rice boiled to perfection, and a glass of 240g pineapple juice.",111.78,20.0,8.24,609.0
"I treated myself to a delightful snack of 60g rye bread and rolls, 10g of juicy calamondins, and a touch of 2g dry tea leaves to enhance the taste.",35.74,7.7299999999999995,2.22,192.0
I treated myself to a simple snack of 37.5g of polished rice and 10g of delicious boiled parrotfish.,11.14,3.33,0.12000000000000001,61.0
"I treated myself to a snack today with 60g of special wheat rolls containing moringa, complemented by 6g of boiled moringa leaves and 237.9g of cola.",61.379999999999995,6.449999999999999,2.87,296.0
I treated myself to a snack of 35g shortbread pastry with mung beans and a decadent 70g piece of chocolate cake.,63.31,6.199999999999999,13.02,395.0
"For my snack, I had 10g of fat-free milk powder alongside 40g of leavened bread.",29.02,8.32,1.82,166.0
"For dinner, I had 60g of fortified Frankfurter sausage alongside a savory meat stew made with 105.6g of ham, boiled potatoes, and diced carrots. In addition, I had 85.0g pasta with 106.6g meat balls",34.9,34.0,28.840000000000003,520.0
"At snack, I savored 80g of specially seasoned bread and rolls, complemented by 9.9g of instant coffee that I enhanced with a touch of non-dairy creamer and 5g of refined cane sugar.",61.28,10.22,3.3699999999999997,315.0
I snacked on a fresh 40g yellow banana.,11.84,0.56,0.08,45.0
"For a quick snack, I opted for a satisfying 215g rice and meat meal, cooked by steaming.",27.52,4.3,0.86,135.0
"For breakfast today, I enjoyed 255g of maize grain that was boiled, along with a small 2g serving of broiled Indian oil sardine and a touch of 5g sugar cane vinegar.",50.05,4.9,0.38,230.0
"For a delightful snack, I indulged in 170g of leavened bread featuring the unique flavor of mung beans and added sugar.",106.25,16.32,3.57,522.0
"For my snack, I had 240g of red avocados.",16.8,2.16,18.24,221.0
"During my snack time, I enjoyed 102g of sweetened traditional margarine spread on leavened bread, along with a refreshing 360g glass of mixed fruit juice featuring oranges and pineapples.",104.59,9.129999999999999,5.46,502.0
"At dinner, my plate included 203.4g of white rice porridge, alongside 6.7g of fresh pig meat grilled to perfection, 30g of tender boiled taros, and an additional 20g of boiled pig meat.",21.72,6.88,11.85,217.0
I enjoyed a light snack of 50g leavened bread that had a sweet and mild flavor.,29.55,5.7,1.35,153.0
I enjoyed a cozy dinner featuring 107.5g of instant rolled oats and 40g of broiled bonito from the eastern pacific.,83.74,28.1,6.82,514.0
"For my dinner, I prepared 40g each of boiled daikon, aubergines, and okra.",5.12,1.04,0.24,23.0
"For my snack, I had 30g of peanut brittle and 50g of purple mombins.",29.740000000000002,3.6300000000000003,4.4799999999999995,170.0
"For my snack, I had 120g of ripe boiled banana.",46.32,1.44,0.0,172.0
"During my snack time, I savored 55g of fried eggs alongside a 100g sandwich roll and a sweet 250g orange fruit soft drink.",90.44,16.59,9.74,516.0
"For a quick snack, I had a satisfying 240g of processed rice-based flakes, combined with 40g of sugary rice snacks, and just a hint of 1.6g of ripe coconut fragments for flavor.",98.88,1.56,1.54,87.0
I enjoyed a 120g serving of grilled mature banana as a sweet snack.,46.32,1.44,0.0,172.0
"For a hearty snack, I enjoyed 127.5g of boiled maize grain, 80g of boiled cow meat, and 80g of savory offal, rounded out with 35g of sweet rice flour cake.",42.41,29.369999999999997,7.039999999999999,359.0
"I treated myself to a snack of 4.9g brown cane sugar, 0.3g instant coffee powder, 2g imitation cheese, and 50g of a unique bread enriched with condensed milk.",36.93,5.62,1.98,189.0
"For my snack, I had 43g of sweet rice cakes made with glutinous rice and coconut milk, wrapped in leaves, alongside 60g of deep-fried savory pies.",41.0,8.469999999999999,15.180000000000001,335.0
I enjoyed a 75g serving of a green banana as a quick snack.,18.38,0.75,0.3,71.0
"I treated myself to an 8g serving of chocolate-coated confectionery for a quick snack, combining delightful flavors of vanilla and sweet sugar.",5.4,0.5,2.2,43.0
"At dinner, I savored 100g of brown wheat bread complemented by 350g of rich quince compote.",104.4,8.700000000000001,1.8,466.0
"For my snack, I had a 235g ready-to-eat mixed meal for children that included feta cheese, rusk, butter oil, and a touch of camomile infusion.",45.2,10.9,13.7,348.0
"My afternoon snack consisted of 30g of velvety cream cheese and a sweet 40g berliner doughnut, making for a satisfying treat.",21.6,6.199999999999999,19.7,288.0
"For a delightful snack, I savored a 200g drink made from rye and wheat, along with a 70g biscuit that was rich in cocoa and enhanced with a touch of vanilla flavoring.",43.7,5.199999999999999,16.4,342.0
"For my afternoon snack, I indulged in 115g of homemade buns, rich in flavor from the brined cheese, paired with 200g of silky yogurt, which was crafted by mixing tap water and yogurt culture for a creamy finish.",61.8,16.7,18.4,481.0
"During lunch, I had 15g of light and airy white wheat bread, complemented by 30g of spring onions that added a nice bite.",10.8,1.7999999999999998,0.2,53.0
"For my snack, I had 5.8g of fine paste butter wrapped in an envelope, a tiny sprinkle of 0.1g iodised salt, 32.3g of dried durum pasta made from wheat semolina, and 19.6g of soft brined cheese resembling feta made from cow's milk.",25.7,7.199999999999999,9.2,215.0
"For my snack, I had 250g of a refreshing tea beverage made with dried herbs and fruit, paired with 65g of soft table olives.",6.2,1.4,23.4,241.0
"For a quick snack, I indulged in 30g of wafers with a delightful blend of milk powder and vanilla, complemented by 70g of soft, crunchy apples.",30.700000000000003,1.7,10.399999999999999,223.0
I enjoyed a delightful snack of 108g sweet cherries accompanied by 85g of fresh strawberries.,20.299999999999997,1.7000000000000002,0.8,95.0
"For breakfast, I had 150g of liqueur made from fermented fruit products, sugar, and wine grapes, distilled to a rich 40% alcohol content.",0.0,0.0,0.0,333.0
"For my snack, I had 40g of sweet bars made from wheat starch, flavored with various ingredients and coated in sugar.",33.9,0.0,0.0,136.0
"For my afternoon snack, I enjoyed 3.6g of common walnuts, a touch of 1.8g of edible sunflower seed oil, and a dash of 0.3g of coarse cinnamon to bring everything together. Additionally, I included 13.5g of white sugar and 18.0g of wheat flour to enhance the flavors, along with 13.1g of plain cow milk yogurt for creaminess. Finally, I cracked in a hen egg to add richness to my snack experience.",28.000000000000004,3.3,5.0,169.0
"My snack included a refreshing 400g of soft drinks with minor fruit flavors, 80g of delicious wiener sausage, and 120g of leavened bread, generously spread with 30g of prepared mayonnaise sauce.",120.51,21.54,30.76,844.0
"During my snack time, I enjoyed 180g of freshly analyzed apples, complete with their nutritious peel.",24.86,0.47,0.31,94.0
"For my lunch, I savored an 80g meat burger prepared from fresh bovine meat, along with 50g of lettuce and 120g of tomatoes.",6.56,15.659999999999998,13.35,206.0
"For my snack, I had 20g of baked milk along with 50g of wheat bread and rolls.",39.980000000000004,5.5,1.67,197.0
"I whipped up a dinner featuring 49.2g of raw beef, 92.3g of cooked pasta, and a colorful mix of 15.4g raw carrots and 6.2g raw onions, enhanced with 30.8g of canned tomatoes.",24.880000000000003,12.73,11.49,278.0
"For dinner, I had a delightful meal consisting of 5 grams of leeks, 10 grams of raw chards, and 10 grams of dehydrated fruit juice to refresh my palate. I also enjoyed 15 grams of dried durum pasta, a generous serving of 50 grams of mixed origin beef products, alongside 5 grams of sweet corn and 20 grams of raw courgettes. To complete the dish, I included 20 grams of raw pumpkins, 20 grams of raw carrots, 7 grams of celery leaves, and sautéed onions prepared with a dash of heat. Lastly, I savored a hearty serving of 20 grams of potatoes for a fulfilling end to my day.",20.969999999999995,11.989999999999998,2.2399999999999998,180.0
"For breakfast, I had a wholesome 200g serving of Greek yogurt topped with 30g of honey.",14.6,19.8,10.0,230.4
"My lunch consisted of a 150g grilled chicken breast with 100g of steamed broccoli.",2.5,46.5,3.3,227.7
"As an afternoon snack, I enjoyed 50g of mixed nuts and 1 medium apple (182g).",29.31,8.95,24.0,368.8
"For dinner, I prepared 200g of baked salmon with 150g of quinoa and 100g of roasted asparagus.",39.75,51.9,26.1,605.5
"Before bed, I had a small 200ml glass of warm milk with 5g of cocoa powder.",10.3,6.7,3.2,97.6
"My mid-morning snack was 30g of cheddar cheese with 2 rice cakes (14g each)",15.68,7.83,10.05,184.49
"For lunch, I had a sandwich made with 2 slices of whole wheat bread (60g) and 100g of turkey breast",29.4,29.1,3.9,271.3
"I treated myself to a 50g bar of dark chocolate (70% cocoa) after dinner",22.0,4.2,22.0,300.0
"My pre-workout meal was a banana (118g) and 30g of peanut butter",31.31,8.35,15.3,294.9
"Post-workout, I had a protein shake made with 30g whey protein powder and 250ml almond milk",3.75,26.25,3.75,153.75
"For breakfast, I had 40g of rolled oats cooked with water and topped with 100g of blueberries",33.4,5.7,3.0,181.0
"My dinner included 150g of lean beef steak with 200g of sweet potato",26.8,34.95,9.75,338.75
"As a light snack, I had 150g of cottage cheese with 50g of cherry tomatoes",7.25,19.5,4.5,150.5
"For lunch, I enjoyed a salad with 50g of mixed greens, 50g of cucumber, and 30g of feta cheese",3.55,5.7,7.8,108.2
"My afternoon pick-me-up was an espresso (30ml) with 10g of sugar",10.0,0.3,0.0,41.2
"For breakfast, I had a hearty bowl of 60g steel-cut oats with 200ml of whole milk and 30g of raisins",54.9,13.8,8.1,349.7
"My lunch was a colorful salad with 100g of grilled chicken, 50g of avocado, and 150g of mixed vegetables",10.5,32.5,17.5,331.5
"As an afternoon snack, I munched on 30g of almonds and a medium-sized orange (131g)",18.43,7.89,16.13,254.83
"For dinner, I enjoyed 180g of baked cod with 150g of brown rice and 100g of steamed carrots",54.7,39.9,2.7,405.9
"Before bed, I sipped on a calming cup of chamomile tea with 1 tsp (7g) of honey",6.09,0.02,0.0,24.43
"My mid-morning boost was a smoothie made with 150g of frozen mixed berries and 200ml of coconut water",21.8,1.3,0.6,98.2
"Lunch consisted of a wrap made with a large (50g) whole wheat tortilla, 100g of hummus, and 50g of cucumber",35.5,11.5,14.5,317.5
"I treated myself to a small (85g) serving of vanilla ice cream after dinner",21.25,2.98,7.23,161.5
"My pre-workout fuel was a slice of whole grain toast (32g) with 15g of almond butter",15.37,5.92,8.48,161.48
"Post-exercise, I had 200g of low-fat Greek yogurt with 1 tbsp (21g) of chia seeds",10.71,23.42,7.77,207.57
"Breakfast was 40g of steel-cut oats cooked with water, topped with 1 tbsp (14g) of chia seeds and 1 medium sliced peach (150g)",43.9,8.7,4.9,253.3
"Dinner included 150g of lean beef stir-fry with 100g of brown rice and 150g of mixed vegetables",54.5,34.5,9.0,438.0
"As a light snack, I had 200g of Greek yogurt with 1 tbsp (15ml) of honey",14.9,19.8,10.0,230.8
"For lunch, I enjoyed a vegetable soup (250ml) with 1 whole wheat roll (50g)",30.5,8.5,3.5,188.5
"My afternoon pick-me-up was an espresso (30ml) with 1 tsp (4g) of sugar and 30ml of half-and-half",5.4,1.0,2.6,49.0
"For breakfast, I had a smoothie made with 200ml of almond milk, 1 scoop (30g) of protein powder, and 100g of mixed berries",17.0,27.0,4.5,217.5
"My lunch was a chicken Caesar salad with 100g of grilled chicken, 50g of romaine lettuce, and 2 tbsp (30g) of Caesar dressing",2.5,31.5,16.5,288.5
